datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2015-04-18,1429290000,94.3,78.8,85.4,97.7,78.8,90.0,71.3,64.8,0.0,0.0,0.0,,,,,10.3,147.0,1009.3,38.8,6.3,281.3,24.2,9.0,05:41:02,1429310462,18:04:27,1429355067,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-19,1429376400,95.6,80.4,86.6,103.1,86.0,93.1,72.9,65.8,0.0,0.0,0.0,,,,,10.5,161.3,1009.3,30.4,6.5,286.6,24.7,10.0,05:40:32,1429396832,18:04:30,1429441470,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-20,1429462800,95.1,80.5,86.9,105.5,86.1,95.2,74.5,67.7,0.0,0.0,0.0,,,,,9.8,197.8,1009.1,43.0,6.1,252.6,21.8,8.0,05:40:02,1429483202,18:04:34,1429527874,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-21,1429549200,97.9,81.7,87.6,108.8,87.3,95.2,73.3,64.1,0.0,0.0,0.0,,,,,12.2,172.5,1008.4,54.0,6.4,154.9,13.3,5.0,05:39:33,1429569573,18:04:38,1429614278,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-22,1429635600,95.0,82.4,87.4,103.8,88.2,95.0,73.3,64.3,0.0,0.0,0.0,,,,,13.9,142.0,1009.5,43.8,6.4,212.9,18.3,8.0,05:39:05,1429655945,18:04:43,1429700683,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS', 'remote']",obs
2015-04-23,1429722000,96.1,78.8,84.6,104.5,78.8,89.3,71.9,67.2,0.0,0.0,0.0,,,,,16.8,70.8,1010.9,45.1,6.4,250.0,21.6,9.0,05:38:37,1429742317,18:04:47,1429787087,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-24,1429808400,95.6,77.0,85.5,102.5,77.0,89.4,70.8,63.2,0.0,0.0,0.0,,,,,13.4,117.3,1010.4,48.8,6.3,256.0,22.1,9.0,05:38:09,1429828689,18:04:52,1429873492,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-25,1429894800,95.5,78.8,86.5,101.1,78.8,91.0,70.6,60.9,0.0,0.0,0.0,,,,17.2,11.7,111.5,1010.2,51.0,6.1,297.3,25.7,10.0,05:37:43,1429915063,18:04:58,1429959898,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-26,1429981200,98.9,78.8,87.0,101.5,78.8,91.7,70.8,60.7,0.0,0.0,0.0,,,,,13.2,119.2,1009.9,50.4,6.1,282.6,24.6,9.0,05:37:16,1430001436,18:05:04,1430046304,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-27,1430067600,96.8,80.6,86.7,102.9,84.5,93.0,72.1,63.0,0.028,100.0,29.17,['rain'],,,,12.0,127.9,1009.7,53.5,6.2,241.7,21.0,9.0,05:36:51,1430087811,18:05:10,1430132710,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-28,1430154000,94.3,77.0,85.3,101.8,77.0,91.7,72.9,67.4,0.0,0.0,0.0,,,,34.4,12.6,139.0,1009.9,52.1,6.1,231.5,20.3,7.0,05:36:26,1430174186,18:05:16,1430219116,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-29,1430240400,93.2,80.6,85.8,103.6,85.3,93.0,73.7,68.2,0.0,0.0,0.0,,,,,11.5,153.8,1009.7,55.3,6.5,281.0,24.2,9.0,05:36:01,1430260561,18:05:23,1430305523,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-04-30,1430326800,95.0,80.5,86.2,103.1,85.7,93.3,73.6,67.7,0.0,0.0,0.0,,,,25.3,11.7,146.1,1009.5,46.6,6.4,302.8,26.3,10.0,05:35:38,1430346938,18:05:30,1430391930,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-01,1430413200,95.0,82.3,87.0,105.1,89.4,95.6,74.6,67.8,0.0,0.0,0.0,,,,,10.7,158.8,1009.0,56.4,6.5,219.4,19.0,8.0,05:35:15,1430433315,18:05:38,1430478338,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-02,1430499600,95.0,82.4,87.4,103.5,89.4,95.6,74.0,65.4,0.0,0.0,0.0,,,,,11.2,178.7,1009.1,50.2,6.5,284.3,24.4,10.0,05:34:52,1430519692,18:05:46,1430564746,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-03,1430586000,94.0,81.3,86.5,103.2,86.5,93.8,73.3,65.5,0.315,100.0,4.17,['rain'],,,,12.1,212.8,1009.3,56.1,6.2,271.0,23.5,9.0,05:34:31,1430606071,18:05:54,1430651154,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-04,1430672400,97.9,82.3,88.0,104.9,88.2,94.9,72.4,61.4,0.008,100.0,8.33,['rain'],,,,13.7,201.8,1009.0,50.1,6.3,306.0,26.6,10.0,05:34:10,1430692450,18:06:03,1430737563,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain in the morning and afternoon.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-05,1430758800,95.0,82.3,87.5,103.9,89.4,95.3,73.6,64.4,0.0,0.0,0.0,,,,,10.7,203.3,1007.9,53.7,6.5,224.3,19.3,8.0,05:33:50,1430778830,18:06:12,1430823972,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-06,1430845200,96.1,82.2,87.7,104.1,88.1,95.6,73.6,64.4,0.012,100.0,12.5,['rain'],,,23.0,9.8,208.3,1007.2,50.7,6.3,153.8,13.2,5.0,05:33:30,1430865210,18:06:21,1430910381,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-07,1430931600,93.2,82.3,87.1,103.6,89.4,96.2,74.9,67.9,0.06,100.0,45.83,['rain'],,,,12.8,181.6,1008.1,49.9,6.5,140.4,12.2,4.0,05:33:12,1430951592,18:06:31,1430996791,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-08,1431018000,93.2,82.3,86.9,102.6,89.4,95.3,74.4,67.1,0.028,100.0,12.5,['rain'],,,,9.4,174.6,1007.7,55.6,5.5,234.1,20.1,7.0,05:32:54,1431037974,18:06:41,1431083201,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
